time,high,low,open,close
1613055660,48153.25,48012.93,48048.45,48153.25
1613055720,48203.48,48153.05,48153.25,48182.71
1613055780,48182.71,48038.99,48182.71,48086.8
1613055840,48153.11,48070.71,48086.8,48129.82
1613055900,48131.21,47964.79,48129.82,48013.47
1613055960,48020.05,47916.53,48013.47,47917.31
1613056020,47917.31,47814.66,47917.31,47838.8
1613056080,47883.85,47810.22,47838.8,47881.41
1613056140,47887.86,47793.08,47881.41,47793.08
1613056200,47796.91,47665.92,47793.08,47703.86
1613056260,47718.83,47633.6,47703.86,47662.62
1613056320,47690.33,47662.62,47662.62,47673.81
1613056380,47750.78,47673.81,47673.81,47707.04
1613056440,47754.89,47702.55,47707.04,47727.73
1613056500,47881.37,47725.0,47727.73,47862.28
1613056560,47875.27,47794.42,47862.28,47875.27
1613056620,47892.92,47860.93,47875.27,47880.44
1613056680,47910.34,47871.95,47880.44,47909.61
1613056740,48023.08,47908.99,47909.61,48023.08
1613056800,48135.88,48023.08,48023.08,48133.46
1613056860,48144.3,47796.94,48133.46,47871.11
1613056920,47906.75,47852.86,47871.11,47879.48
1613056980,47981.45,47879.48,47879.48,47980.09
1613057040,48008.95,47966.49,47980.09,48008.95
1613057100,48028.98,47931.73,48008.95,47935.85
1613057160,47993.4,47935.85,47935.85,47970.51
1613057220,47971.83,47947.33,47970.51,47969.58
1613057280,47972.37,47875.32,47969.58,47875.76
1613057340,47906.44,47839.93,47875.76,47871.96
1613057400,47946.93,47871.96,47871.96,47928.33
1613057460,47978.11,47922.79,47928.33,47955.33
1613057520,48038.43,47951.73,47955.33,48021.08
1613057520,48038.43,47951.73,47955.33,48021.08
1613057580,48026.01,47860.93,48021.08,47884.36
1613057640,47885.51,47801.46,47884.36,47818.46
1613057700,47873.16,47812.81,47818.46,47854.87
1613057760,47889.86,47850.47,47854.87,47878.73
1613057820,47892.93,47858.88,47878.73,47875.87
1613057880,47882.11,47842.65,47875.87,47843.42
1613057940,47872.09,47836.47,47843.42,47839.11
1613058000,47860.53,47818.04,47839.11,47836.31
1613058060,47889.23,47833.03,47836.31,47850.96
